fips,Communication,Economy,Education,Food and Water,Government,Healthcare Delivery and Public Health Services,Housing,Nurturing and Care,Population Well being,Transportation,Engineered Systems,Natural Systems,Preparedness,Deprivation,Inequality,Vulnerability,Social Cohesion
18135,0.476390088,0.467519655,0.518380689,0.428429433,0.443693299,0.426477664,0.551178155,0.570065039,0.467020903,0.489035231,0.466872135,0.558438412,0.519544993,0.464544779,0.694396565,0.476203269,0.469829398
18137,0.476390088,0.537348005,0.46784278,0.546678811,0.458656207,0.475371675,0.427198362,0.552026335,0.519662515,0.434551017,0.480723794,0.559203061,0.482462274,0.569226326,0.634577315,0.493581738,0.497262617
18139,0.311858224,0.522856043,0.559474047,0.496324648,0.404103958,0.483843866,0.489952057,0.570656992,0.454986222,0.418386877,0.42828862,0.565521528,0.46319282,0.482943345,0.698740962,0.493415386,0.494703709
18141,0.641530679,0.521868135,0.438026596,0.539654847,0.599516373,0.545774944,0.494415676,0.403967049,0.509713647,0.560900423,0.560509346,0.596449563,0.46319282,0.503666991,0.442391133,0.535261122,0.54642767
18143,0.476390088,0.462398402,0.35377691,0.580694189,0.507964012,0.460208462,0.446276801,0.677038473,0.314993024,0.517305213,0.424878973,0.570861354,0.501233137,0.4247192,0.613652585,0.484406031,0.511553185
18145,0.476390088,0.504460978,0.458489116,0.489253496,0.431272228,0.454385977,0.489650004,0.628444573,0.452744128,0.370998718,0.525200389,0.572963163,0.443379043,0.52369442,0.477020542,0.526991244,0.436558698
18147,0.476390088,0.515023618,0.521202079,0.534566718,0.36785994,0.489145557,0.510725496,0.611091986,0.56068178,0.409789573,0.548248251,0.589808374,0.443379043,0.575283141,0.668533205,0.525299602,0.48980392
18149,0.476390088,0.365797622,0.408840736,0.474015485,0.375305882,0.389729103,0.435463827,0.514898446,0.364119626,0.463519895,0.48191396,0.601139522,0.46319282,0.379594831,0.63878944,0.592784445,0.460604322
18151,0.476390088,0.561089702,0.487309915,0.427243071,0.351335052,0.447441136,0.563253686,0.440680844,0.578955086,0.489035231,0.492834375,0.571946967,0.401895782,0.547247515,0.694396565,0.554494225,0.49756781
18153,0.311858224,0.434055346,0.469339441,0.504557393,0.439156212,0.40620347,0.511865164,0.5309748,0.365150227,0.348090908,0.370956874,0.606501532,0.519544993,0.458031333,0.609494524,0.434004539,0.465029829
18155,0.311858224,0.386635639,0.432348043,0.471052954,0.311041384,0.34825722,0.432103547,0.533189901,0.361582493,0.517305213,0.483008399,0.552477183,0.554925679,0.469686002,0.677115965,0.513435494,0.412657435
18157,0.641530679,0.48597317,0.443397859,0.548401806,0.432935288,0.551848251,0.536421078,0.366481625,0.536942303,0.643455947,0.612466874,0.599420808,0.443379043,0.577253092,0.37859191,0.645554127,0.457080329
18159,0.476390088,0.505358784,0.554077133,0.309582958,0.377026772,0.534387706,0.518378944,0.454540237,0.572897492,0.409789573,0.500529705,0.58137501,0.46319282,0.565042443,0.787751362,0.494467709,0.423284989
18161,0.476390088,0.456227231,0.410898282,0.452576773,0.333710181,0.413286345,0.410130327,0.597644603,0.463219725,0.400800595,0.503115217,0.553178849,0.46319282,0.534322806,0.81990607,0.507443585,0.395683169
18163,0.641530679,0.562572537,0.468506305,0.641845809,0.536462604,0.556578259,0.573630548,0.522410083,0.464696312,0.489035231,0.605056947,0.586805193,0.519544993,0.528278945,0.404613544,0.540237765,0.567818823
18165,0.807125398,0.43732648,0.49429406,0.544281338,0.470413297,0.442662394,0.482325065,0.451151782,0.415567727,0.370998718,0.432511571,0.607612645,0.46319282,0.503739196,0.446208939,0.489621119,0.48366438
18167,0.476390088,0.508839149,0.498880204,0.523062264,0.550990176,0.530604989,0.522385461,0.530139339,0.438075046,0.565292603,0.523984304,0.606241883,0.482462274,0.480462868,0.415871208,0.491764003,0.463972251
18169,0.311858224,0.521086849,0.528155096,0.480812564,0.401245254,0.511183569,0.509625343,0.527027121,0.502965698,0.586162041,0.472195104,0.579429492,0.401895782,0.528001773,0.68142166,0.465032919,0.48832153
18171,0.311858224,0.463599307,0.546992436,0.413120411,0.374787288,0.529335231,0.499226882,0.574725249,0.611524861,0.370998718,0.528284911,0.606873249,0.46319282,0.532977506,0.592950528,0.490647046,0.376000974
18173,0.641530679,0.53703,0.460466631,0.585047586,0.318973263,0.608501535,0.476215234,0.574310413,0.588443198,0.306918414,0.623891199,0.589358585,0.519544993,0.60955446,0.480906115,0.544018217,0.471514643
18175,0.476390088,0.42414679,0.456012176,0.482517184,0.359057983,0.381017107,0.411734993,0.338491032,0.357806314,0.476649289,0.463027369,0.577339496,0.519544993,0.449584028,0.584730913,0.498738142,0.460845097
18177,0.476390088,0.495571755,0.480223345,0.51782963,0.505415917,0.506536453,0.528879287,0.572408035,0.450663748,0.506414589,0.506261052,0.556017103,0.443379043,0.419151597,0.492609107,0.467664542,0.536961387
18179,0.807125398,0.535852911,0.534179046,0.446313277,0.272924607,0.582606722,0.523581145,0.559887405,0.594193017,0.470183978,0.51167031,0.567490708,0.46319282,0.539261898,0.651480941,0.50521584,0.453227144
18181,0.641530679,0.55953789,0.481414461,0.415358399,0.43739427,0.478943847,0.556896143,0.581246169,0.52980981,0.442177772,0.505817449,0.599418184,0.46319282,0.534885945,0.703095152,0.486895603,0.43733278
18183,0.476390088,0.527084516,0.50139048,0.470822477,0.452549408,0.513443788,0.471421461,0.445927888,0.586239515,0.418386877,0.539392927,0.576539899,0.46319282,0.561885223,0.677115965,0.535277577,0.440311551
19001,0.807125398,0.542364576,0.70497693,0.51578003,0.47848832,0.580952181,0.571276664,0.717242935,0.678938691,0.542497268,0.474368003,0.688273449,0.482462274,0.60044254,0.588836388,0.44863472,0.48241719
